Period,Month,Average_Price_All_Types,Yearly_Percentage_Change_Ave_All_Types,Monthly_Percentage_Change_Ave_All_Types,HPI_All_Types,Sales_Volume_All_Types,Average_Price_Detached,Yearly_Percentage_Change_Ave_Detached,Monthly_Percentage_Change_Ave_Detached,HPI_Detached,Average_Price_Semi_Detached,Yearly_Percentage_Change_Ave_Semi_Detached,Monthly_Percentage_Change_Ave_Semi_Detached,HPI_ Semi_Detached,Average_Price_Terraced,Yearly_Average_Percentage_Change_Terraced,Monthly_Average_Percentage_Change_Terraced,HPI_Terraced,Average_Price_Flats_Maisonettes,Yearly_Percentage_Change__Flats_Maisonettes,Monthly_Percentage_Change__Flats_Maisonettes,HPI_Flats_Maisonettes
1996,1,75342,1.22,0.22,18.7,7690,159926,-0.94,0.71,21.51,96393,0.52,-0.04,20.43,74754,1.42,0.67,18.28,65870,1.94,-0.24,18.2
1996,2,76087,4.55,0.99,18.89,7608,159662,1.41,-0.17,21.48,97498,1.47,1.15,20.66,75122,1.85,0.49,18.37,66992,10.99,1.7,18.51
1996,3,75691,2.43,-0.52,18.79,9815,161107,3.21,0.91,21.67,97079,2.21,-0.43,20.57,75029,1.98,-0.12,18.35,66097,2.98,-1.34,18.27
1996,4,76767,3.11,1.42,19.06,9416,160304,2.15,-0.5,21.56,97381,2.3,0.31,20.64,75761,2.39,0.98,18.53,68172,4.72,3.14,18.84
1996,5,77215,2.36,0.58,19.17,11110,160540,1.11,0.15,21.59,98333,1.66,0.98,20.84,76984,2.56,1.61,18.82,67630,2.91,-0.79,18.69
1996,6,78139,3.35,1.2,19.4,10712,163374,3.19,1.77,21.97,99096,2.64,0.78,21,76944,3.03,-0.05,18.81,69564,4.24,2.86,19.23
1996,7,78799,3.7,0.84,19.56,12624,167042,3.18,2.24,22.47,100384,2.84,1.3,21.27,77796,2.68,1.11,19.02,69523,5.67,-0.06,19.21
1996,8,79058,4.67,0.33,19.62,13021,168725,4.8,1.01,22.69,101125,4.18,0.74,21.43,78590,4.64,1.02,19.22,68901,5.05,-0.89,19.04
1996,9,79752,6.42,0.88,19.8,11820,169961,6.34,0.73,22.86,101873,5.97,0.74,21.59,78910,5.73,0.41,19.3,69975,7.6,1.56,19.34
1996,10,79504,7,-0.31,19.74,12767,171030,6.72,0.63,23,101781,6.14,-0.09,21.57,78586,7.22,-0.41,19.22,69598,7.42,-0.54,19.23
1996,11,80224,8.24,0.91,19.91,13342,168697,7.33,-1.36,22.69,102161,7.36,0.37,21.65,79649,8.91,1.35,19.48,70450,8.25,1.22,19.47
1996,12,81417,8.3,1.49,20.21,13028,171030,7.7,1.38,23,104399,8.26,2.19,22.12,80634,8.59,1.24,19.72,71374,8.1,1.31,19.73
1997,1,83066,10.25,2.03,20.62,10762,176010,10.06,2.91,23.67,105732,9.69,1.28,22.41,82195,9.95,1.94,20.1,73141,11.04,2.47,20.21
1997,2,83579,9.85,0.62,20.75,10495,176433,10.5,0.24,23.73,105446,8.15,-0.27,22.34,82178,9.39,-0.02,20.09,74410,11.07,1.74,20.56
1997,3,84576,11.74,1.19,20.99,11648,177667,10.28,0.7,23.9,106903,10.12,1.38,22.65,83576,11.39,1.7,20.44,74926,13.36,0.69,20.71
1997,4,86088,12.14,1.79,21.37,12206,180373,12.52,1.52,24.26,108927,11.86,1.89,23.08,84904,12.07,1.59,20.76,76393,12.06,1.96,21.11
1997,5,88544,14.67,2.85,21.98,13154,186373,16.09,3.33,25.07,112329,14.23,3.12,23.8,87397,13.53,2.94,21.37,78356,15.86,2.57,21.65
1997,6,89231,14.2,0.78,22.15,13732,190062,16.34,1.98,25.56,113227,14.26,0.8,23.99,88606,15.16,1.38,21.67,78377,12.67,0.03,21.66
