"Name","URI","Region GSS code","Period","Sales volume","Reporting period","House price index All property types","House price index Detached houses","House price index Semi-detached houses","House price index Terraced houses","House price index Flats and maisonettes","Pivotable date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-04,,quarterly,1.1,,,,,1968-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-05,,quarterly,1.1,,,,,1968-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-06,,quarterly,1.1,,,,,1968-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-07,,quarterly,1.13,,,,,1968-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-08,,quarterly,1.13,,,,,1968-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-09,,quarterly,1.13,,,,,1968-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-10,,quarterly,1.1,,,,,1968-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-11,,quarterly,1.1,,,,,1968-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1968-12,,quarterly,1.1,,,,,1968-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-01,,quarterly,1.14,,,,,1969-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-02,,quarterly,1.14,,,,,1969-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-03,,quarterly,1.14,,,,,1969-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-04,,quarterly,1.12,,,,,1969-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-05,,quarterly,1.12,,,,,1969-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-06,,quarterly,1.12,,,,,1969-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-07,,quarterly,1.15,,,,,1969-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-08,,quarterly,1.15,,,,,1969-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-09,,quarterly,1.15,,,,,1969-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-10,,quarterly,1.15,,,,,1969-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-11,,quarterly,1.15,,,,,1969-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1969-12,,quarterly,1.15,,,,,1969-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1970-01,,quarterly,1.23,,,,,1970-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1970-02,,quarterly,1.23,,,,,1970-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1970-03,,quarterly,1.23,,,,,1970-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1970-04,,quarterly,1.2,,,,,1970-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1970-05,,quarterly,1.2,,,,,1970-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1970-06,,quarterly,1.2,,,,,1970-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1970-07,,quarterly,1.29,,,,,1970-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1970-08,,quarterly,1.29,,,,,1970-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1970-09,,quarterly,1.29,,,,,1970-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1970-10,,quarterly,1.3,,,,,1970-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1970-11,,quarterly,1.3,,,,,1970-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1970-12,,quarterly,1.3,,,,,1970-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1971-01,,quarterly,1.33,,,,,1971-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1971-02,,quarterly,1.33,,,,,1971-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,1971-03,,quarterly,1.33,,,,,1971-03-01
